run,station,date_range,err_mean,err_std,rmse,IoA,bias,crmse_norm,mod_std_norm,corr_coef,count
RUN017a,cbnc3.900.F.CT,121-126,-0.09999999997882233,5.5750154922469143e-11,0.09999999997882238,0.0,-0.09999999997882213,236307.178247193,236307.17824507708,,145
RUN017a,cbnc3.900.F.CT,127-129,-0.09999999952159314,1.3982447027706493e-09,0.09999999952159311,0.0,-0.09999999952159297,11194905.464093333,11194905.464093287,,73
RUN017a,cbnc3.900.F.CT,5-150,-0.09999999996389854,3.7234419484517873e-10,0.0999999999638985,0.0,-0.09999999996389655,191643.27764192503,191643.27763903292,-3.959182669852046e-05,1145
RUN017a,cbnc3.900.F.CT,51-53,,,,1,,,,,0
RUN017a,cbnc3.900.F.CT,5-70,,,,1,,,,,0
RUN017a,cbnc3.900.F.CT,58-60,,,,1,,,,,0
RUN017a,cbnc3.900.F.CT,71-150,-0.09999999996389854,3.7234419484517873e-10,0.0999999999638985,0.0,-0.09999999996389655,191643.27764192503,191643.27763903292,-3.959182669852046e-05,1145
RUN017a,cbnc3.900.F.CT,90-92,,,,1,,,,,0
RUN017a,lonw1.0.A.External,121-126,0.3855702391904392,0.1602802923181126,0.41755739899438044,0.49323713345157183,0.38557023919044076,0.7424161967293972,0.48824109599004817,0.703748173076184,145
RUN017a,lonw1.0.A.External,127-129,0.419895767741031,0.18842434505938777,0.46023492868087373,0.5529277676260926,0.41989576774102977,0.6619671696588643,0.46141917641346414,0.8394830148560186,73
RUN017a,lonw1.0.A.External,5-150,0.3286480166291925,0.2556893454713166,0.4163971184120419,0.9061593459462627,0.32864801662919474,0.3748265235088184,0.9507874438217088,0.9273901606834865,3477
RUN017a,lonw1.0.A.External,51-53,0.1637772856970355,0.2253154313480078,0.27854989304221106,0.8542834722456867,0.16377728569703476,0.5193597007334104,0.6554534086385041,0.8847956672917665,73
RUN017a,lonw1.0.A.External,5-70,0.2951079680574504,0.27834051575851204,0.40566261292324146,0.8585587880711381,0.2951079680574509,0.48679602448148723,0.8344810604918134,0.8744286359288067,1585
RUN017a,lonw1.0.A.External,58-60,0.42832946781247416,0.18821273160764698,0.46785699239802897,0.5943995099493026,0.4283294678124743,0.6062486328457619,0.546608981634339,0.8518374242512365,73
RUN017a,lonw1.0.A.External,71-150,0.356825268576244,0.23129082344769522,0.42522901747837155,0.7883519505253617,0.3568252685762432,0.5135530922496152,0.86196963100925,0.8580666957437199,1893
RUN017a,lonw1.0.A.External,90-92,-0.09189067458419377,0.12539776473725756,0.155462199510488,0.9101397533511392,-0.09189067458419364,0.4392180377288258,0.8138807149177087,0.9027670188727721,73
RUN017a,saturn02.100.F.CT,121-126,-4.930557640436807,5.444744407116766,7.345450313255078,0.5504139755589182,-4.930557640436813,1.3567115732148938,1.4656908516908667,0.4460638402452321,145
RUN017a,saturn02.100.F.CT,127-129,-0.31793893374837623,5.952131358786451,5.9606168202495695,0.629899777813175,-0.3179389337483798,1.2257240918090189,1.1206218928891378,0.33614990139047846,73
RUN017a,saturn02.100.F.CT,5-150,-2.40123501916469,5.43253392998979,5.9395584446786245,0.5918328519803391,-2.401235019164705,1.1435362455849756,1.0360364231076669,0.36953156663275544,860
RUN017a,saturn02.100.F.CT,51-53,,,,1,,,,,0
RUN017a,saturn02.100.F.CT,5-70,,,,1,,,,,0
RUN017a,saturn02.100.F.CT,58-60,,,,1,,,,,0
RUN017a,saturn02.100.F.CT,71-150,-2.40123501916469,5.43253392998979,5.9395584446786245,0.5918328519803391,-2.401235019164705,1.1435362455849756,1.0360364231076669,0.36953156663275544,860
RUN017a,saturn02.100.F.CT,90-92,,,,1,,,,,0
RUN017a,saturn02.1100.F.CT,121-126,0.37061437510905965,0.32780059458117455,0.4947810069568661,0.42642403890712977,0.3706143751090458,1.0289303752464953,0.04524654703877497,-0.6260197826522933,145
RUN017a,saturn02.1100.F.CT,127-129,0.15067391078662917,0.522020388640403,0.5433303907826383,0.3898956773007345,0.15067391078661174,0.9404185400801136,0.24375211451004122,0.35902880915212354,73
RUN017a,saturn02.1100.F.CT,5-150,0.5580726347726396,3.4967042923855414,3.540958341193737,0.11996060488415494,0.5580726347726319,0.9987247547722286,0.09269532339147422,0.0600962744191014,859
RUN017a,saturn02.1100.F.CT,51-53,,,,1,,,,,0
RUN017a,saturn02.1100.F.CT,5-70,,,,1,,,,,0
RUN017a,saturn02.1100.F.CT,58-60,,,,1,,,,,0
RUN017a,saturn02.1100.F.CT,71-150,0.5580726347726396,3.4967042923855414,3.540958341193737,0.11996060488415494,0.5580726347726319,0.9987247547722286,0.09269532339147422,0.0600962744191014,859
RUN017a,saturn02.1100.F.CT,90-92,,,,1,,,,,0
