run,station,date_range,err_mean,err_std,rmse,IoA,bias,crmse_norm,mod_std_norm,corr_coef,count
RUN017b,cbnc3.900.F.CT,121-126,-0.09999999685212527,7.947124910520512e-09,0.0999999968521256,0.0,-0.09999999685212504,33685335.32754333,33685335.32754331,,145
RUN017b,cbnc3.900.F.CT,127-129,-0.09999998370393265,1.4138962135129452e-08,0.09999998370393363,0.0,-0.09999998370393251,113202177.07393992,113202177.07393995,,73
RUN017b,cbnc3.900.F.CT,5-150,-0.09999907235726425,2.0999585563668724e-05,0.09999907456219755,0.0,-0.09999907235726217,10808358130.101604,10808358130.101606,-3.84136269292512e-05,1145
RUN017b,cbnc3.900.F.CT,51-53,,,,1,,,,,0
RUN017b,cbnc3.900.F.CT,5-70,,,,1,,,,,0
RUN017b,cbnc3.900.F.CT,58-60,,,,1,,,,,0
RUN017b,cbnc3.900.F.CT,71-150,-0.09999907235726425,2.0999585563668724e-05,0.09999907456219755,0.0,-0.09999907235726217,10808358130.101604,10808358130.101606,-3.84136269292512e-05,1145
RUN017b,cbnc3.900.F.CT,90-92,,,,1,,,,,0
RUN017b,lonw1.0.A.External,121-126,-0.13869737071245133,0.10649200684936108,0.1748642563972166,0.8019382838059157,-0.1386973707124488,0.4932695689765048,0.686206296329448,0.8944571188068471,145
RUN017b,lonw1.0.A.External,127-129,-0.10084633027608898,0.1146609314446293,0.152699415617428,0.9011810758882312,-0.1008463302760898,0.40282359604289736,0.6736055499472771,0.9586304533060375,73
RUN017b,lonw1.0.A.External,5-150,-0.0033196939273461078,0.19196098189362248,0.19198968445553272,0.9756224187745183,-0.0033196939273421044,0.2814042460779711,0.8133402987206165,0.9727380373880651,3477
RUN017b,lonw1.0.A.External,51-53,0.03356127939766604,0.1320448605152609,0.13624318208006927,0.9690952687210397,0.03356127939766562,0.30436787587206326,0.7981091578466151,0.9674982480733302,73
RUN017b,lonw1.0.A.External,5-70,0.07441308066333724,0.19772526195939538,0.2112642558283815,0.9569901352311014,0.07441308066333585,0.34580618347672504,0.7943638889061829,0.9513474193474587,1585
RUN017b,lonw1.0.A.External,58-60,0.17285255082810222,0.1338512625063702,0.21861876589700824,0.8440450707187662,0.17285255082810225,0.43114588586030134,0.6724221378902063,0.9415698006341727,73
RUN017b,lonw1.0.A.External,71-150,-0.06829436721743666,0.16028429536569852,0.17422736850021162,0.952203000380551,-0.06829436721743543,0.3558917483067372,0.7806932591479158,0.9496835094903917,1893
RUN017b,lonw1.0.A.External,90-92,-0.4547576356643037,0.0994816472141261,0.46551165971157304,0.6248694118932059,-0.45475763566430416,0.34844428025468294,0.8078449585260825,0.9477066387636351,73
RUN017b,saturn02.100.F.CT,121-126,-5.828351635192052,5.359717174782345,7.918096423832103,0.5269730632861407,-5.828351635192057,1.335524641098161,1.4109246196830127,0.42776282963949985,145
RUN017b,saturn02.100.F.CT,127-129,-0.02868192237849316,5.722445067062275,5.722516946083838,0.6354532794930607,-0.02868192237850664,1.1784247288826613,1.0580183037604618,0.34532384120994736,73
RUN017b,saturn02.100.F.CT,5-150,-2.6959519505334955,5.560410154259698,6.17950790946818,0.5677815982919472,-2.695951950533537,1.170453904873571,1.0286176729613727,0.3344741159821187,860
RUN017b,saturn02.100.F.CT,51-53,,,,1,,,,,0
RUN017b,saturn02.100.F.CT,5-70,,,,1,,,,,0
RUN017b,saturn02.100.F.CT,58-60,,,,1,,,,,0
RUN017b,saturn02.100.F.CT,71-150,-2.6959519505334955,5.560410154259698,6.17950790946818,0.5677815982919472,-2.695951950533537,1.170453904873571,1.0286176729613727,0.3344741159821187,860
RUN017b,saturn02.100.F.CT,90-92,,,,1,,,,,0
RUN017b,saturn02.1100.F.CT,121-126,0.4189049874171842,0.3633430100354882,0.5545264028201362,0.36597230268396763,0.4189049874171751,1.1404941474760713,0.2082447160590433,-0.6179293370106214,145
RUN017b,saturn02.1100.F.CT,127-129,0.24355520776881542,0.559326220217807,0.6100532434586751,0.4151607619790503,0.24355520776882855,1.007624910620296,0.37249448818476955,0.16569934205877684,73
RUN017b,saturn02.1100.F.CT,5-150,0.5687139636495295,3.496094987766211,3.5420496518165834,0.11563214930976173,0.5687139636495502,0.9985507258708289,0.09001229980567332,0.061095328098998376,859
RUN017b,saturn02.1100.F.CT,51-53,,,,1,,,,,0
RUN017b,saturn02.1100.F.CT,5-70,,,,1,,,,,0
RUN017b,saturn02.1100.F.CT,58-60,,,,1,,,,,0
RUN017b,saturn02.1100.F.CT,71-150,0.5687139636495295,3.496094987766211,3.5420496518165834,0.11563214930976173,0.5687139636495502,0.9985507258708289,0.09001229980567332,0.061095328098998376,859
RUN017b,saturn02.1100.F.CT,90-92,,,,1,,,,,0
RUN017b,saturn02.1600.F.CT,121-126,0.10020466007211763,0.3417320037494331,0.3561203957747592,0.2999271787491985,0.10020466007210871,1.0162734486817935,0.056863796072860975,-0.2600796397225276,145
