run,station,date_range,err_mean,err_std,rmse,IoA,bias,crmse_norm,mod_std_norm,corr_coef,count
RUN019a,cbnc3.900.F.CT,121-126,-0.09999996580366437,1.0468268847938037e-07,0.09999996580371914,0.0,-0.09999996580366413,443716627.6036978,443716627.6036978,,145
RUN019a,cbnc3.900.F.CT,127-129,-0.09999981319753685,1.5676679933631772e-07,0.09999981319765973,0.0,-0.09999981319753674,1255137598.3561606,1255137598.3561606,,73
RUN019a,cbnc3.900.F.CT,5-150,-0.0999984730042189,2.8349657324724212e-05,0.0999984770227954,0.0,-0.09999847300421683,14591395068.358013,14591395068.358023,-4.5407072963879155e-05,1145
RUN019a,cbnc3.900.F.CT,51-53,,,,1,,,,,0
RUN019a,cbnc3.900.F.CT,5-70,,,,1,,,,,0
RUN019a,cbnc3.900.F.CT,58-60,,,,1,,,,,0
RUN019a,cbnc3.900.F.CT,71-150,-0.0999984730042189,2.8349657324724212e-05,0.0999984770227954,0.0,-0.09999847300421683,14591395068.358013,14591395068.358023,-4.5407072963879155e-05,1145
RUN019a,cbnc3.900.F.CT,90-92,,,,1,,,,,0
RUN019a,lonw1.0.A.External,121-126,-0.06891910518506345,0.11690116308598358,0.13570455036720605,0.8592355532812852,-0.06891910518506217,0.5414846431605319,0.6770682506932837,0.8604862184314893,145
RUN019a,lonw1.0.A.External,127-129,-0.041159208948901585,0.1239685505668625,0.1306226703560606,0.9229702898151331,-0.041159208948902126,0.43552286473169394,0.6659532058291422,0.9413675733334409,73
RUN019a,lonw1.0.A.External,5-150,0.04361420583231244,0.19432499819219762,0.19915924249901415,0.9742757097665534,0.04361420583231812,0.28486976400590736,0.8314714871388907,0.968279776508564,3477
RUN019a,lonw1.0.A.External,51-53,0.0489037978663375,0.14911097527882733,0.15692566518691148,0.958418513379717,0.04890379786633625,0.343705848434617,0.7888397399289792,0.9533840328445421,73
RUN019a,lonw1.0.A.External,5-70,0.1095355904122207,0.20679506051244564,0.2340133385499638,0.9480947192152837,0.1095355904122226,0.3616685593383242,0.805381853065814,0.9423081589534099,1585
RUN019a,lonw1.0.A.External,58-60,0.2090643395680642,0.1423134062644413,0.2529051278278453,0.8018217322136624,0.20906433956806403,0.4584031443914052,0.6590657808192443,0.9287648488874527,73
RUN019a,lonw1.0.A.External,71-150,-0.011486898048718646,0.16400133231313108,0.16440311988299894,0.9577102426847535,-0.011486898048718164,0.364144975952804,0.7971928402277698,0.9426294273850638,1893
RUN019a,lonw1.0.A.External,90-92,-0.38407022627691617,0.10572656777153273,0.39835668168759286,0.6719484702757508,-0.3840702262769158,0.37031773038151444,0.8031811888884562,0.9387450936421149,73
RUN019a,saturn02.100.F.CT,121-126,-1.9971653376876937,5.38975031746204,5.747875944263529,0.63568194182016,-1.997165337687683,1.3430082453239716,1.4682999164625177,0.4604759158924133,145
