run,station,date_range,err_mean,err_std,rmse,IoA,bias,crmse_norm,mod_std_norm,corr_coef
archive_db35,cbnc3.900.F.CT,121-126,-0.09999996171419619,1.637332020218085e-07,0.09999996171433026,1.9984014443252818e-14,-0.09999996171419671,327728350.05011696,327728350.05011696,
archive_db35,cbnc3.900.F.CT,127-129,-0.09999979943852344,4.241711277980925e-07,0.09999979943942303,1.9984014443252818e-14,-0.0999997994385239,849020859.1529945,849020859.1529943,
archive_db35,cbnc3.900.F.CT,5-150,-0.09173170271498128,0.07416372268361382,0.11796170160387515,0.8674031311916414,0.056880689860815556,1.2298197965632,5.119675119497018,0.9305194701153268
archive_db35,cbnc3.900.F.CT,51-53,,,,1,,,,
archive_db35,cbnc3.900.F.CT,5-70,0.06605102031771501,0.2902818638433521,0.2977016925739281,0.9454233611168461,0.03468164283205938,0.5134354925197284,1.6987420209641735,0.9260036638314412
archive_db35,cbnc3.900.F.CT,58-60,,,,1,,,,
archive_db35,cbnc3.900.F.CT,71-150,-0.09999979300490425,2.233017753916428e-06,0.09999979302983614,0.0,-0.0701541242875189,15361383016570.473,120401079300265.33,-4.709112470431199e-05
archive_db35,cbnc3.900.F.CT,90-92,,,,1,,,,
archive_db35,lonw1.0.A.External,121-126,-0.07039430804320308,0.09638246392154018,0.11935215941267412,0.90941098585254,-0.07039430804320412,0.43087532701745934,0.7691555577214618,0.9139547328412808
archive_db35,lonw1.0.A.External,127-129,-0.02668992815320328,0.13029771361315265,0.13300318205831885,0.9471602537614552,-0.02668992815320248,0.3775614582911575,0.6872508384882617,0.9674495728087683
archive_db35,lonw1.0.A.External,5-150,-0.07090416058379909,0.19663922817814353,0.2090320215818358,0.9723175300765086,-0.06920646070972403,0.28862271371178205,0.85196531643364,0.9636596356935899
archive_db35,lonw1.0.A.External,51-53,-0.0035046247233304754,0.16848005265023241,0.16851649929747686,0.9507129670115058,-0.003504624723330352,0.3826526352126004,0.7444798894811786,0.9455106084785331
archive_db35,lonw1.0.A.External,5-70,-0.054685151998485095,0.21772005606416545,0.22448271350302365,0.9431011073146163,-0.05468515199848367,0.3898337093107923,0.6976226553359601,0.9566110261142671
archive_db35,lonw1.0.A.External,58-60,0.01657542026487427,0.15583545418078878,0.15671449625573852,0.9509860796578521,0.01657542026487535,0.3825984592000284,0.7594783655838648,0.9417159669242408
archive_db35,lonw1.0.A.External,71-150,-0.06856405506066875,0.17958644195182372,0.19222986183025315,0.9655976064586593,-0.06971031034136566,0.3153620220381272,0.8268555945038024,0.9573435030404667
archive_db35,lonw1.0.A.External,90-92,-0.2827892360672896,0.14119957032839658,0.31608079773444847,0.8818196630616637,-0.2827892360672912,0.29227135843021645,0.8037314325204371,0.970822843004232
archive_db35,saturn02.100.F.CT,121-126,1.5141834405093415,6.320339014665079,6.499187391652146,0.6178609535562314,1.5414584896300667,1.1070687671949595,1.01316311876364,0.40055989616510973
archive_db35,saturn02.100.F.CT,127-129,-0.23069444344919832,5.654484236623913,5.659188272929841,0.6068717645456403,-0.23069444344921308,1.2375199755291293,1.1375531686784959,0.3351806063811312
archive_db35,saturn02.100.F.CT,5-150,-0.3531135571291527,5.549488146711331,5.560711094340181,0.6171602511221332,-0.3160387071195565,1.1681809153542075,1.0680709271955062,0.36537886616703835
archive_db35,saturn02.100.F.CT,51-53,,,,1,,,,
archive_db35,saturn02.100.F.CT,5-70,,,,1,,,,
archive_db35,saturn02.100.F.CT,58-60,,,,1,,,,
archive_db35,saturn02.100.F.CT,71-150,-0.3531135571291527,5.549488146711331,5.560711094340181,0.6171602511221332,-0.3160387071195565,1.1681809153542075,1.0680709271955062,0.36537886616703835
archive_db35,saturn02.100.F.CT,90-92,,,,1,,,,
archive_db35,saturn02.1100.F.CT,121-126,1.9640412799536575,5.435733901456263,5.779676565068578,0.20510074219409746,1.9627579153078827,0.9965467854994281,0.017529679774061488,0.20380831348701176
archive_db35,saturn02.1100.F.CT,127-129,0.34928184304535737,0.5689975858997954,0.6676496526180155,0.37205101004147156,0.3492818430453539,1.1056370585548991,0.33355657332075517,-0.16664836872745156
archive_db35,saturn02.1100.F.CT,5-150,0.762427698598006,3.506261958579648,3.5881985616423533,0.12908433278423503,0.7632843583848512,1.0014546345518829,0.06900072341412271,0.013797668070181724
archive_db35,saturn02.1100.F.CT,51-53,,,,1,,,,
archive_db35,saturn02.1100.F.CT,5-70,,,,1,,,,
archive_db35,saturn02.1100.F.CT,58-60,,,,1,,,,
archive_db35,saturn02.1100.F.CT,71-150,0.762427698598006,3.506261958579648,3.5881985616423533,0.12908433278423503,0.7632843583848512,1.0014546345518829,0.06900072341412271,0.013797668070181724
archive_db35,saturn02.1100.F.CT,90-92,,,,1,,,,
archive_db35,saturn02.1600.F.CT,121-126,1.4565465962443123,5.485257908199316,5.6753486506552155,0.15371142126517223,1.4540532395420414,0.9960605620879511,0.015978130974990828,0.25506087880041806
archive_db35,saturn02.1600.F.CT,127-129,0.005182237356376866,0.4915594427862089,0.4915867587479406,0.09761824993410229,0.0051822373563972235,1.024243388945474,0.12463436995796824,-0.1345567584407126
archive_db35,saturn02.1600.F.CT,5-150,0.33324983374119543,3.4487254557599623,3.4647889864889736,0.05503940212558622,0.33176679773929507,0.9957893587569051,0.02540001840462476,0.17843113178966893
archive_db35,saturn02.1600.F.CT,51-53,,,,1,,,,
archive_db35,saturn02.1600.F.CT,5-70,,,,1,,,,
archive_db35,saturn02.1600.F.CT,58-60,,,,1,,,,
