,Smax,Smin,z0,Dt,D,max(dS/dz)
obs,30.046384249666406,1.4565959648534008,-7.287367385074354,0.9013437909268627,4.172887920957697e-05,-18.633871998629647
RUN020u,29.613019439430524,0.0003984276905700751,-5.430387692190916,2.834841003465671,0.00013124263904933662,-10.608241848020112
