,Smax,Smin,z0,Dt,D,max(dS/dz)
obs,30.046384249666406,1.4565959648534008,-7.287367385074354,0.9013437909268627,4.172887920957697e-05,-18.633871998629647
RUN020r,391.50170461665516,-1.405946606993988,-46.450678917910594,968.6687189108353,0.04484577402364978,-2.9958889624983995
