,Smax,Smin,z0,Dt,D,max(dS/dz)
obs,30.046384249666406,1.4565959648534008,-7.287367385074354,0.9013437909268627,4.172887920957697e-05,-18.633871998629647
RUN017b,29.83930717432392,0.005237384109572928,-6.332977395436821,4.4826065163506215,0.00020752807946067693,-8.30989970208639
